region,day,total_trucks,total_routes,total_cost,total_ww_cost
6,40,3,2,1924.7115303553132,1924.7115303553132
7,40,2,2,2186.248660968806,2186.248660968806
0,41,5,7,4502.027931556693,4502.027931556693
1,41,2,1,1161.996075728209,1161.996075728209
2,41,3,4,2929.3683883382646,2929.3683883382646
3,41,4,4,2618.719726718124,2618.719726718124
4,41,3,3,2649.2234808836774,2649.2234808836774
5,41,2,1,1235.9916817943035,1235.9916817943035
6,41,3,3,2591.0234696592543,2591.0234696592543
7,41,2,2,2044.5819943021395,2044.5819943021395
0,42,5,8,4806.317526748219,4806.317526748219
1,42,2,1,947.526026358051,947.526026358051
2,42,3,4,2940.7546436504426,2940.7546436504426
3,42,4,3,3023.978942094434,3023.978942094434
4,42,3,3,2873.1668245197743,2873.1668245197743
5,42,2,1,1110.9916817943035,1110.9916817943035
6,42,3,3,2595.1901363259212,2595.1901363259212
7,42,2,2,2115.4153276354727,2115.4153276354727
0,43,5,6,4052.110611891342,4052.110611891342
1,43,2,2,1639.8043621802237,1639.8043621802237
2,43,3,3,3157.0782716890153,3157.0782716890153
3,43,4,4,2691.593614261147,2691.593614261147
4,43,3,2,2303.642429342365,2303.642429342365
5,43,2,2,1641.1787276077275,1641.1787276077275
6,43,3,3,2629.1139921140693,2629.1139921140693
7,43,2,2,2240.4153276354727,2240.4153276354727
0,44,5,5,4085.1448840462103,4085.1448840462103
1,44,2,1,1328.6627423948757,1328.6627423948757
2,44,3,4,3065.7546436504435,3065.7546436504435
3,44,4,3,2453.2455990147755,2453.2455990147755
4,44,3,5,3516.208005366281,3516.208005366281
5,44,2,1,1330.6802747436373,1330.6802747436373
6,44,3,3,2641.613992114069,2641.613992114069
7,44,2,2,2140.4153276354727,2140.4153276354727
0,45,5,5,4468.112841264526,4468.112841264526
1,45,2,1,1203.6627423948757,1203.6627423948757
2,45,3,4,2857.4213103171096,2857.4213103171096
3,45,4,5,3054.443058068418,3054.443058068418
4,45,3,4,3074.75805292772,3074.75805292772
5,45,2,2,1516.1787276077278,1516.1787276077278
6,45,3,2,2202.633166320709,2202.633166320709
7,45,2,2,2069.5819943021397,2069.5819943021397
0,46,5,4,3690.265518552932,3690.265518552932
1,46,2,1,1036.996075728209,1036.996075728209
2,46,3,4,2940.7546436504426,2940.7546436504426
