region,day,total_trucks,total_routes,total_overworked,total_double_shift,total_cost,cost_overworked,total_ww_cost
1,49,2,2,1,0,2450.9130956271924,122.56913826037942,2450.9130956271924
2,49,3,4,3,1,4524.739858222434,154.70539256629715,4524.739858222434
3,49,4,5,0,1,4251.825177755522,0.0,4251.825177755522
4,49,3,4,2,1,4750.910788302057,578.8672656445348,4750.910788302057
5,49,2,3,1,1,2752.828561755395,82.99298149876653,2752.828561755395
6,49,3,5,1,2,4087.856115616818,281.5754798542822,4087.856115616818
7,49,2,2,0,0,2294.389096080938,0.0,2294.389096080938
0,50,5,5,1,0,5341.603786978303,38.54281891069754,5341.603786978303
1,50,2,3,1,1,2451.6021065289488,176.73580492704608,2451.6021065289488
2,50,3,4,2,1,4061.0523793905195,73.05317839348506,4061.0523793905195
3,50,4,4,1,0,4335.300420520053,51.16752555458297,4335.300420520053
4,50,3,3,2,0,3981.6106106473617,371.545211915961,3981.6106106473617
5,50,2,3,0,1,3102.8714787027484,0.0,3102.8714787027484
6,50,3,4,2,1,3686.6388804190224,423.7422896291087,3686.6388804190224
7,50,2,2,1,0,2295.455953263212,185.1786033454085,2295.455953263212
0,51,5,6,1,1,5901.867434847757,112.27333677759871,5901.867434847757
1,51,2,2,2,0,2480.2952782710263,69.33637416143708,2480.2952782710263
2,51,3,4,2,1,3750.4457125271406,309.24593364165816,3750.4457125271406
3,51,4,4,1,0,4422.565731283245,20.919684962997707,4422.565731283245
4,51,3,4,2,1,4451.565858755859,457.70211064874,4451.565858755859
5,51,2,3,1,1,3039.512919696043,5.501826100402847,3039.512919696043
6,51,3,5,2,2,4108.862220991451,298.6514710748441,4108.862220991451
7,51,2,2,1,0,2257.6641936950327,32.2187652551324,2257.6641936950327
0,52,5,7,1,2,5647.096861366848,23.98509631376766,5647.096861366848
1,52,2,3,0,1,2881.3480124698913,0.0,2881.3480124698913
2,52,3,4,0,1,4228.873069743605,0.0,4228.873069743605
3,52,4,5,0,1,4873.274804577546,0.0,4873.274804577546
