0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
9109.82,23032.08,15058.39,21340.42,14807.7,17110.61,19677.91,34581.55,18459.78,16964.03,0.0,1293.01,3553.72,10605.89,21255.06,780.53,1006.17,8241.92,13178.09,19766.66,20228.3,13462.46,7959.15,16304.38,4438.29,9470.67,16415.89,19950.03,23089.12,23559.07,15776.02,12248.47,16896.75,20251.5,31894.25,21748.45,22653.53,28569.33,12214.9,22857.64,11905.62,4755.08,10287.29,13480.41,5006.69,8092.35,18858.1,12091.01,16190.26,34475.23,19573.88
12346.85,26269.11,15050.16,24577.45,18044.72,20347.63,19669.69,37818.57,18451.55,16955.8,1272.05,0.0,2815.48,10597.66,24492.09,2026.21,1304.94,7503.68,13169.86,23003.69,19490.06,12724.22,11196.18,15566.14,3703.56,8732.43,16407.66,23187.05,23689.28,26796.1,15767.79,12240.24,16158.51,23488.53,35131.27,24985.47,25890.55,31806.35,15451.92,26094.67,11167.38,10774.92,10279.07,16717.44,8243.72,7354.11,18849.87,15328.03,19427.28,37712.25,22810.91
13821.74,27743.99,14572.18,26052.33,17615.34,21822.52,19191.7,39293.46,17973.57,16477.81,3465.96,2807.56,0.0,10119.68,24062.7,4220.12,3307.68,7065.36,11836.4,24478.57,19051.73,12285.9,12671.07,15127.81,1218.98,8294.1,15929.68,24661.94,23250.96,28270.99,15289.8,10499.76,15720.19,24963.41,36606.16,26460.36,27365.44,33281.24,16926.81,27569.55,10729.06,6000.79,9812.3,18192.32,9718.6,6915.79,18371.89,16802.92,20902.17,39187.14,24285.79
10663.45,25113.43,5421.38,28453.62,11342.74,19348.0,15573.26,34859.04,14355.13,6892.04,11570.29,14641.08,8958.04,0.0,17790.11,12223.71,11873.39,17782.36,3333.19,26879.86,33736.96,23002.9,15072.35,29813.04,9681.92,19011.11,9350.9,27063.22,18984.46,30672.27,11671.37,1701.5,30789.61,16331.27,14863.84,23326.1,22516.65,22299.13,19328.1,29970.84,21446.06,7898.03,4503.53,20593.61,12119.89,17632.79,14753.45,9712.24,23303.46,34752.72,22063.69
15373.85,12615.07,24004.0,24179.76,7357.62,10259.42,31913.96,22360.69,30695.83,23566.09,21431.74,24506.28,24174.32,17797.96,0.0,20820.45,20455.56,27647.56,18653.74,22789.92,39633.94,32868.11,14862.5,35710.02,23804.31,28876.31,28651.94,22789.36,35325.16,27893.54,28012.07,19232.61,36302.4,7486.16,4866.42,10827.75,10018.3,9803.08,18836.35,25880.91,31311.27,17216.76,14842.22,21094.88,17621.78,27498.0,31094.15,10432.83,19029.59,22254.37,9567.64
8749.45,22671.7,15906.68,20980.04,14447.32,16750.23,20526.2,34221.17,19308.07,17812.31,687.16,2013.49,4176.97,11454.17,20894.68,0.0,1255.8,8865.16,14026.38,19406.28,20851.54,14085.7,7598.78,16927.62,5061.53,10093.91,17264.18,19589.65,23937.4,23198.7,16624.3,13096.76,17520.0,19891.12,31533.87,21388.07,22293.15,28208.95,11854.52,22497.27,12528.87,9880.52,11135.58,13120.04,4646.31,8715.6,19706.38,11730.63,15829.88,34114.85,19213.5
8680.89,22603.14,14629.46,20911.49,14378.76,16681.67,19248.98,34152.61,18030.85,16535.09,1399.84,1526.52,3122.99,10176.96,20826.13,1568.1,0.0,8378.2,12749.16,19337.72,20364.58,13598.74,7530.22,16440.66,4009.35,9606.95,15986.96,19521.09,22660.18,23130.14,15347.08,11819.54,17033.03,19822.56,31465.31,21319.51,22224.59,28140.39,11785.96,22428.71,12041.9,4029.15,9858.36,13051.48,4577.75,8228.63,18429.17,11662.07,15761.32,34046.29,19144.95
15860.62,29782.88,21793.74,28091.22,21558.49,23861.4,26413.26,41332.34,25195.13,23699.37,8654.61,7876.17,7629.49,17341.23,28005.86,11933.58,8687.5,0.0,19913.44,26517.46,17003.21,4050.2,14709.95,13079.29,8826.32,6245.58,23151.24,26700.82,21202.43,30309.87,22511.36,18983.82,13671.66,27002.29,38645.04,28499.24,29404.32,35320.12,18965.69,29608.44,6868.11,14288.69,17022.64,20231.21,11757.49,2978.45,24184.26,18841.8,22941.05,41226.02,26324.68
11537.53,25987.51,6181.48,24544.64,12216.83,20222.09,14377.8,35733.12,16941.72,5033.49,14156.88,17227.67,11822.97,3257.71,18664.19,14810.3,14459.98,20368.95,0.0,36162.36,36323.54,25589.49,13700.32,32399.63,12268.5,21597.7,11577.78,23154.24,21571.05,26763.29,14257.95,3336.74,33376.2,17205.35,15737.92,24200.19,23390.74,23173.21,21914.68,39253.34,24032.65,9255.5,5579.27,17359.85,14706.48,20219.38,17340.04,10586.33,19394.47,35626.8,22937.77
14394.28,6026.57,30314.17,6697.65,20874.6,10210.38,34933.69,23306.18,33715.56,32219.8,19920.59,22995.13,24601.51,25861.67,22271.21,19309.3,18944.4,26136.41,32170.73,0.0,38122.79,31356.95,13243.61,34198.87,20584.64,27365.16,31671.67,4389.23,38344.89,5329.99,31031.79,27504.25,34791.24,17365.66,18121.57,7936.0,8462.1,12568.21,12055.2,3317.36,29800.11,19574.51,21476.21,7542.09,15808.89,25986.84,34113.88,12584.95,4844.46,23199.86,8288.65
