region,routes,total_duration,total_demand
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths St Lukes', 'Distribution Centre Auckland']",13947.33,16.95
0,"['Distribution Centre Auckland', 'Woolworths St Lukes', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",13229.76,16.85
0,"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'Woolworths St Lukes', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15111.810000000001,17.15
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Greenlane', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15124.76,20.0
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Greenlane', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15124.76,20.0
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",14084.93,16.75
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",13639.29,16.1
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Auckland City', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16235.55,19.75
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']",14642.689999999999,17.15
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']",13705.36,16.35
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Newmarket', 'Distribution Centre Auckland']",13338.64,16.65
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths St Lukes', 'Distribution Centre Auckland']",13947.33,16.95
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Distribution Centre Auckland']",7239.58,8.35
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",13834.55,16.6
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'FreshChoice Epsom', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",15601.08,16.9
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",15441.369999999999,19.9
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",15441.369999999999,19.9
0,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",13742.66,16.65
0,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Woolworths Auckland Victoria Street West', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16190.29,20.0
0,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Woolworths Auckland City', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16310.25,19.65
0,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']",14262.369999999999,17.05
0,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",13321.470000000001,16.25
